barcode,description,external_id,name,kcal,protein,carbs,fat,fiber,sugar,sodium,magnesium,vitamin_c,vitamin_d
616112181348,"Avocado, Hass, peeled, raw",2423382,Smashed Avocado,215.78,1.75,8.77,19.3,5.3,0,9,0,0,0
619684010344,"Chia seeds, dry, raw",2194474,Chia Seeds,513.3,16.7,36.7,33.3,26.7,0,0,400,0,0
627843083047,"Cherries, sweet, dark red, raw",1133958,"Cherry Juice, Cherry",64.96,0.24,16,0,0,0,0,0,1,0
629307123344,"Potatoes, red, without skin, raw",576920,Potatoes,78.4,2.7,16.9,0,2,0,0,0,2.4,0
630887012768,"Plum, black, with skin, raw",2642169,"June Plum with Ginger Fruit Nectar, June Plum",55.2,0,13.8,0,0,0,14,0,36,0
641227751018,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",2455279,Breakfash Sausage,322.94,14,3.51,28.1,0,0,719,0,0,0
680569649836,"Yogurt, Greek, plain, nonfat",2475934,Greek Yogurt,63.68,11.8,4.12,0,0,0,44,0,0,150
686443313008,"Chicken, thigh, boneless, skinless, raw",2181695,"Chicken Burgers, Chicken",147.56,18.8,0,8.04,0,0,304,0,0,0
688267005930,"Blueberries, raw",2430237,Blueberries,60.04,0.71,14.3,0,2.1,0,0,0,10,0
688267071706,"Oil, coconut",2430317,100% Soybean Oil Vegetable Oil,900,0,0,100,0,0,0,0,0,0
697068120148,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",1925845,Ruby Red Organic Grapefruit Juice,38.28,0.56,9.01,0,0,0,0,7,20.3,0
708820306370,"Potatoes, gold, without skin, raw",2637169,"Potatoes O'Brien Diced Potatoes with Peppers & Onions, Potatoes O'Brien",71.56,1.19,16.7,0,2.4,0,30,0,0,0
709351123139,"Brussels sprouts, raw",1905344,Brussels Sprouts,54.91,3.53,9.41,0.35,3.5,0,24,0,84.7,0
710069011021,"Beet greens, raw",2665752,Red Beets,28.8,1.6,5.6,0,1.6,0,0,0,2.9,0
710069312180,"Tomatoes, crushed, canned",2507462,"Tomato Puree, Tomato",38.8,1.6,7.2,0.4,1.6,0,100,0,0,0
717544206736,"Egg, white, raw, frozen, pasteurized",2489170,Real Egg,46.68,10,1.67,0,0,0,167,0,0,27
725439950626,"Scallops, sea, frozen, wild caught",2096008,North Atlantic Sea Scallops,60.64,12.4,1.77,0.44,0,0,133,0,2.1,0
736211720733,"Figs, dried, uncooked",1664271,Figs,271.48,3.57,64.3,0,10.7,0,11,0,0,0
739625001023,"Pickles, cucumber, dill or kosher dill",2089873,Pickle O'Pete Processed Hot Pickles,11.52,0.36,1.71,0.36,1.5,0,893,0,357,0
740695650226,"Lettuce, cos or romaine, raw",2642882,"Pacific Iceberg Lettuce, 2 Count",17.96,1.12,3.37,0,1.1,0,11,0,0,0
746104140128,"Yogurt, plain, whole milk",2525374,Drinkable Yogurt,70.43,3.75,5.42,3.75,0,0,54,0,1,0
